0,1,2
"<p>By Kate Hamill,&nbsp;adapted from the novel by Louisa May Alcott</p><p>""You can be lonely in a crowd, if it's not the right crowd,"" says Jo in this sparkling stage version of Louisa May Alcott's beloved novel about the March sisters. Playwright Kate Hamill (<em>The Wall Street Journal</em> 2021 Playwright of the Year) honors the spirit of Alcott's original story while freshly interpreting it for a new era. This adaptation will have audiences falling in love with Jo, Meg, Beth, and Amy all over again as they grow from young girls to little women.</p><p><em>LITTLE WOMEN was commissioned and originally produced by the Jungle Theater&nbsp;</em></p><p><em>(Sarah Rasmussen, Artistic Director), Minneapolis, MN; New York City premiere at Primary Stages (Andrew Leynse, Artistic Director; Shane Dr. Hudson, Executive Director; Casey Childs, Founder), June 2019; Developed at the Colorado New Play Festival, Steamboat Springs, June 2018.</em></p>",{theater},{}
"<p><span style=""color: rgb(5, 5, 5);"">String Band Sunday is hosted by Riley Logan featuring a rotating cast of local musicians! Every Sunday! Free!</span></p>","{music,Live music}",{}
"<p>Chris Kattan is best known as one of the longest serving cast members on NBC’s <em>SATURDAY NIGHT LIVE</em>. In the 8 years Chris starred in the landmark late night program, he became best known for his characters ""Mango,"" ""Mr Peepers,"" and one of the ""Butabi Brothers"" opposite Will Ferrell which was such a hit that the sketch was adapted into the 1998 cult classic, <em>NIGHT AT THE ROXBURY</em>.</p><p>Kattan went on to star in <em>CORKY ROMANO</em> where he plays the black sheep son in a family of mobsters and played the villain in the Malcolm D. Lee film, <em>UNDERCOVER BROTHER</em>, opposite Eddie Griffin. Kattan starred as a series regular in the ABC hit series, <em>THE MIDDLE</em>, and recently had some memorable appearances in the Adam Sandler films <em>HOTEL TRANSYLVANIA</em> and <em>THE RIDICULOUS 6</em>.</p><p><strong><em>TICKETS ARE NON-REFUNDABLE - ALL SALES ARE FINAL</em></strong></p><p>Doors open 30 minutes prior to the show</p><p>All shows are 18 and up with ID</p><p>One Drink Minimum, Must be 21 with valid ID to purchase alcohol.</p>",{comedy},{}
"<p>Adele Givens has done it all! Adele was crowned winner of the Crown Royal Comedy competition in the city of Chicago on February 3rd 1990. Since that day Adele has realized that she was destined to become comedic royalty. Since then Adele has the rare ability to make you laugh, think, cry, and cringe all at the same time!! Her famous catch line ""I am SUCH a #$%@#% Lady"" has gone viral. Her work is popular and she can be heard on songs by Big Sean, Lil Kim, The Brat! Her bold and on point insights continue to delight and amaze her fans and peers alike. Popularity was swift with Adele winning many other competitions and securing the respect of comedy lovers everywhere. Almost immediately fans proclaimed Adele Givens the Queen of Comedy. The title is well deserved with such credits as Russell Simmons' Def Comedy Jam, The All Stars of Def Comedy Jam. Showtime at the Apollo. <em>The Oprah Winfrey show</em>. <em>HBO Comedy half-hour</em>, <em>Comedy Central Presents</em>, Queen Adele has certainly reigned supreme.</p><p><strong><em>TICKETS ARE NON-REFUNDABLE - ALL SALES ARE FINAL</em></strong></p><p>Doors open 30 minutes prior to the show</p><p>All shows are 18 and up with ID</p><p>One Drink Minimum, Must be 21 with valid ID to purchase alcohol.</p>",{comedy},{}
"<p>The Bradley family's church Christmas Pageant is always the same, year after year – until the Herdmans show up! With ""the worst kids in the world"" taking the lead roles, this year's Pageant will be a total disaster. But it might just be the year when the rambunctious, rag-tag Herdmans help their community see Christmas in a whole new way, and prove that even ""the worst kids in the world"" can change it for the better.</p><p>Ages 6+</p><p><em>Saturday, December 2nd 7pm show is pay-what-you-will</em></p>","{theater,children}",{}
<p>w/ The Bibelhauser Brothers</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
<p>18 and up</p><p>Doors: 7:00PM // Show: 8:00PM</p>,{music},{}
"<p><span style=""color: rgb(51, 51, 51);"">Join Cagle and Sharon at the Lex Center for Creative Reuse to further build your knitting skills!</span></p><p><span style=""color: rgb(51, 51, 51);"">Together we'll follow a pattern to start knitting a stylish headband. Supplies and instruction will be provided.</span></p><p><span style=""color: rgb(51, 51, 51);"">Students should know how to cast on, knit, and purl confidently before attending this class.</span></p>",{craft},{}
<p>Indoor show</p><p>21+</p><p>Doors 8:00 PM | Show 8:00 PM</p>,{music},{}
<p>w/ Restless Leg String Band</p><p>Indoor show</p><p>All ages</p><p>Doors 7:00 PM | Show 8:00 PM</p>,{music},{}
"<p>John Hee Taek Chae: <em>A Dark and Bloody Ground</em></p><p>Opening Reception Friday November 17th, 6-8PM</p><p><br></p><p>We are excited to announce our upcoming exhibition, John Hee Taek Chae: <em>A Dark and Bloody Ground</em>, opening at Institute 193 at 215 North Limestone on November 17th. We hope you can join us for the opening reception on Friday, 6-8PM. </p><p><br></p><p>John Hee Taek Chae's <em>A Dark and Bloody Ground</em> echoes the distant past, blending historic residues to illustrate an imaginary homecoming. He explores our collective of mutating stories, challenging the sense of lack that drives so many to pack up and start over again. Chae's materials echo these cycles: the wooden frames supporting each artwork are recycled from a previous body of work; patchwork canvases are printed with cyanotype, yielding vague and hazy maps and landscapes in rich, fluid blue. Chae merges historic maps, East Asian brush paintings, Western oil paintings, and photos of wooden masks. Mutations abound, and chaos is organized into an uncanny equilibrium. </p>","{gallery,art}",{}
"<p>Join Renée and the Lex Center for Creative ReUse for our monthly Needle Felting class. This month we'll be making squirrels!</p><p>Needle Felting is a great craft for creating beautiful, soft, sculptural work, AND for reducing stress. This workshop will include both supplies and instruction. More supplies will be available for purchase at the end of the class.</p><p>This class is suitable for both newbies and experienced crafters!</p>",{craft},{}
<p>It’s that time of the year again. 7 DANG years!!! Come hang! Ryan Filchak will be playin some choice selects and we’ll have some drink specials goin. See y’all soon ;)</p>,"{music,holiday}",{}
"<p><strong>Join us for Dorian Hairston and Katerina Stoykova discussing and signing&nbsp;<em>Pretend the Ball is Named Jim Crow: The Story of Josh Gibson</em>&nbsp;and&nbsp;<em>Between a Bird Cage and a Bird House</em>. Optional RSVP is below, but not required to attend the event.</strong></p><p>&nbsp;</p><p><strong><em>Pretend the Ball Is Named Jim Crow: The Story of Josh Gibson</em>&nbsp;by Dorian Hairston</strong></p><p>Joshua ""Josh"" Gibson (1911–1947) is a baseball legend―one of the greatest power hitters in the Negro Leagues, and in all of baseball history. At the height of his career, this trailblazing athlete suffered grueling physical ailments, lost his young wife who died giving birth to their twins, and endured years of Jim Crow–era segregation and discrimination―all the while breaking records on the ball field.</p><p>Dorian Hairston's debut poetry collection explores the Black American experience through the lens of Gibson's life and seventeen-year baseball career, which culminated in his posthumous election to the Baseball Hall of Fame in 1972. Hairston brilliantly reconstructs the personas of Gibson and others in his orbit whose encounters with white supremacy interweave with the inevitability of losing loved ones. By alternating between the perspectives of Gibson, members of his family, and contemporary Black baseball players, Hairston captures the complexity and the pain of living under the oppressive weight of grief and racial discrimination.</p><p>Emotive, prescient, and absorbing, these powerful poems address social change, culture, family, race, death, and oppression―while honoring and giving voice to Gibson and a voiceless generation of African Americans.</p><p>&nbsp;</p><p><strong>Dorian Hairston</strong>&nbsp;is a poet, scholar, and former University of Kentucky baseball player from Lexington, Kentucky. He is a member of the Affrilachian Poets and his work has appeared in&nbsp;<em>Shale</em>,&nbsp;<em>Anthology of Appalachian Writers</em>, and&nbsp;<em>pluck!</em></p><p>&nbsp;</p><p><strong><em>Between a Bird Cage and a Bird House: Poems</em>&nbsp;by Katerina Stoykova</strong></p><p>The fall of the Iron Curtain in the early 1990s ushered in a new tide of European immigrants to the United States. These populations, which hailed primarily from Eastern Europe and the former Soviet Union, were largely adrift in America's cultural melting pot. Laden with their belongings and informed by their experiences, these immigrants became citizens of a new diaspora searching for space to exist in their adopted home.</p><p>In Between a Bird Cage and a Bird House, author Katerina Stoykova follows that which ""calls / the roaming mind / looking for land"" with the shell of her homeland at her back. Through themes of domestic abuse, the death of a parent, the loss of a friend, and the search for cultural identity, the poems in this collection transcend the borders of language and nation-states. As a Bulgarian immigrant, Stoykova weighs the differences between safety and captivity, exploring how one can feel sheltered yet still not feel at home.</p><p>Through a series of addresses to her new domestic partner, America, the speaker in this collection expresses gratitude while simultaneously interrogating the landscape that has come to ""home"" her. With every line of verse, Stoykova's unique grasp on the turns of the English language brings a fresh perspective to immigrant identity and lays bare the terrifying and thrilling duality of living between two cultures.</p><p>&nbsp;</p><p><strong>Katerina Stoykova</strong>&nbsp;is an author, editor, teacher, and translator from Bulgaria. She immigrated to the United States in 1995, publishing several poetry books in English and Bulgarian since her arrival. Her book&nbsp;<em>Second Skin</em>&nbsp;was awarded a grant from the European Commission to be translated and published in English. In 2010 she launched an independent literary press, Accents Publishing.</p>",{literary arts},{}
"<p>Join Sequoia and the Lex Center for Creative ReUse for a hands-on printing workshop!</p><p><span style=""color: rgb(51, 51, 51);"">This workshop is designed for artists of all levels. Guided by the experienced and talented Sequoia, participants will delve into the world of Gelli Printing - a form of monotype printmaking using a flexible plate. You'll walk away with your own unique print, and a new set of skills to continue exploring this exciting art form. Beginners and seasoned art-makers alike will enjoy this workshop.</span></p>",{craft},{}
"<p class=""ql-align-justify""><strong><u>The Kentucky Bar Foundation Presents </u><em><u>An Evening with Goose</u></em></strong></p><p class=""ql-align-justify"">Community members and businesses are invited to join the <a href=""https://kybarfoundation.org/"" rel=""noopener noreferrer"" target=""_blank"">Kentucky Bar Foundation</a> (KBF) at <em>An Evening With Goose,</em> featuring Jack “Goose” Givens, member of the 1978 NCAA National Championship winning Kentucky Wildcats. Goose will share candid stories about the ’78 championship and beyond.&nbsp;</p><p class=""ql-align-justify"">The event will take place on Wednesday, March 6, 2024 from 5:30-7:30 pm at the Hilton Lexington Downtown, 369 W. Main St., just before the Vanderbilt game. While enjoying cocktails and appetizers, attendees will hear from Goose in a Q&amp;A format with the opportunity to ask questions. </p><p class=""ql-align-justify"">Tickets are only $25 and must be purchased by Monday, March 4, 2024. For more details and to purchase tickets, visit https://goosekbf.eventbrite.com or contact KBF Program Manager Gwen Smallenburg at gsmallenburg@kybar.org.&nbsp;</p><p class=""ql-align-justify"">All proceeds will benefit the KBF, which serves as the charitable arm of Kentucky's legal community. Organizations in central Kentucky that have received KBF support include Children’s Advocacy Center of the Bluegrass, Legal Aid of the Bluegrass, Kentucky Refugee Ministries, Maxwell Street Legal Clinic, Micah Legal Services, and The Nest.</p><p class=""ql-align-justify"">&nbsp;</p><p><br></p>",{talk},{}
"<p>The Great American Brass Band Festival is a FREE, family event held annually in beautiful Danville, Kentucky on the campus of Centre College and downtown Danville. 2024 will be our 34th festival and every year has been made possible by the generous donations of our sponsors, donors and volunteers.</p><p>See the schedule <a href=""https://gabbf.org/2024-festival-info"" rel=""noopener noreferrer"" target=""_blank"">here</a>.</p>",{music},{}
"<p>Sayre school visual art classes explored the connection between humans and nature, the physical beauty of the earth and our presence in this ever-changing world. Art teachers Josey Owens, Althea Wiggs, Bill Berryman, and Anne Allen inspired students to create artworks that reflect humanity within the natural world.</p>","{gallery,art}",{}
<p>Doors 7pm / Show 8pm</p><p>This is an 18+ event.</p>,{comedy},{}
"<p>Join us for the second concert of the <strong>Between the Vines Concert Series</strong>, featuring <strong>TeeDee Young</strong> &amp; <strong>Treyvon King</strong>!</p><p>Tee Dee Young is a blues legend in his own time. He has definitely got the blues and he loves ""firing down on that guitar"". While playing his own unique style of the Blues, his dynamic stage presence, exciting harmony and energy will put you in the mood for dancing! Tee Dee is a native of Lexington, Kentucky. He has been performing and playing for audiences for 54 years.</p>",{music},{}
"<p>Join Tessa and the Lex Center for Creative ReUse for a mid-level crochet course!</p><p>This hands-on workshop will guide you through the process of creating your very own Crochet Hexagon Granny Square Cardigan. Tessa will provide step by step instructions on how to crochet a hexagon granny square, form the hexagon into a cardigan, and add finishing touches to your creation. Participants should already know how to do chain, single crochet, and double crochet stitches.</p><p>Whether you're interested in crafting your own clothing or looking for a creative outlet, this workshop is for you!</p>",{craft},{}
"<p>Oh, a black light drag show? That sounds like an electrifying experience! So come join us for Sunday Drag Service Glow Party!!!</p><p>Everything glows under the magical black light. The drag performers would be adorned in vibrant, fluorescent costumes and makeup that come to life in the glow. The whole atmosphere would be pulsing with energy and excitement. It's a visual feast that you won't want to miss!</p>",{drag},{}
"<p>Join the artists of the Lex Center for Creative ReUse for an afternoon of boozy social crafting at Rock House Brewing!</p><p>Bring your own project, or play around with the supplies we bring along.</p><p>We can't wait to see what you make!</p>",{craft},{}
"<p>Join Rebecca and the Lex Center for Creative ReUse for our Eraser Carving &amp; Printing workshop!</p><p><span style=""color: rgb(51, 51, 51);"">Eraser carving is a wonderful way to enter the world of making your own stamps, and a great starter skill for lino cutting.&nbsp;With an eraser, you can carve a tiny work of art and print it again and again.</span></p><p><span style=""color: rgb(51, 51, 51);"">Supplies and instruction will be provided. This workshop is suitable for beginners.</span></p>",{craft},{}
<p>An exhibit of pottery in forms familiar and unexpected.</p>,{gallery},{}
"<p><span style=""color: rgb(5, 5, 5);"">9PM! $5! 21+</span></p>",{music},{}
<p>Kitchen opens at 5pm.</p><p>Band starts at 8pm</p>,{music},{}
"<p>ft. Hot Brown Smackdown, Blind Corn Liquor Pickers, &amp; Solid Rock'it Boosters</p><p>Indoor show</p><p>All ages</p><p>Doors | 7:00 PM Show | 8:00 PM</p>",{music},{}
"<p>w/ Joe Clark &amp; The Peacemakers, Moonlight Mile, Whitney &amp; Ray</p><p>Indoor show</p><p>All ages</p><p>Doors 5:00 PM | Show 6:00 PM</p>",{music},{}
"<p>Contra Dance with caller TBA and band Mixed Nuts</p><p>See website for COVID requirements, if any</p><p>(Beginner lesson 7:30-8:00 PM)</p><p>Information: 859-552-5433 or event website</p><p>Lexington Traditional Dance Association</p><p><br></p>",{dance},{}
"<p>Contra Dance with caller TBA and open band (pick-up musicians welcome)</p><p>See website for COVID requirements, if any</p><p>(Beginner lesson 7:30-8:00 PM)</p><p>Information: 859-552-5433 or event website</p><p>Lexington Traditional Dance Association</p>",{dance},{}
"<p>Superstars come and go. Cher is forever. For six straight decades, only one unstoppable force has flat-out dominated popular culture — breaking down barriers, pushing boundaries, and letting nothing and no one stand in her way.&nbsp;THE CHER SHOW&nbsp;is the Tony Award-winning musical of her story, and it's packed with so much Cher that it takes three women to play her: the kid starting out, the glam pop star, and the icon.</p><p>THE CHER SHOW&nbsp;is 35 smash hits, six decades of stardom, two rock-star husbands, a Grammy®, an Oscar®, an Emmy®&nbsp;and enough Tony Award-winning Bob Mackie gowns to cause a sequin shortage in New York City, all in one unabashedly fabulous new musical that will have you dancing in the&nbsp;aisles!</p>","{theater,music}",{}
